InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
100000,SKU-PER-002,Moisturizing Face Cleanser 150ml,6,2024-03-17 00:00:00,8.91,CUST-1302,United States
100000,SKU-SNK-001,,5,2024-12-10 23:00:00,3.17,CUST-1445,United Kingdom
100000,SKU-SNK-003,Dark Chocolate 70% Bar 100g,5,07/08/2024 16:00,2.9,CUST-1135,France
100001,SKU-BEV-002,Organic Green Tea 500ml,5,2024-09-15 09:00:00,2.58,CUST-1023,Germany
100001,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,3,2024-06-07 22:00:00,7.15,CUST-1359,France
100001,SKU-PER-002,Moisturizing Face Cleanser 150ml,6,04/26/2024 19:00,11.46,CUST-1431,United States
100002,SKU-BEV-001,Cold Brew Coffee 250ml,3,2024/08/03,4.52,CUST-1202,France
100002,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,6,04/05/2024 07:00,5.9,CUST-1070,United States
100002,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,4,03/15/2024 20:00,6.35,CUST-1270,Australia
100003,SKU-BEV-001,Cold Brew Coffee 250ml,6,19-03-2024 04:00,3.74,CUST-1368,Australia
100003,SKU-DRY-003,Whole Grain Pasta 500g,8,13-03-2024 15:00,1.99,CUST-1472,United States
100003,SKU-DRY-002,Extra Virgin Olive Oil 750ml,2,2024-01-14 07:00:00,15.94,CUST-1484,France
100004,SKU-BEV-002,Organic Green Tea 500ml,5,12/29/2024 15:00,2.53,CUST-1108,France
100004,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,4,2024/07/31,3.82,CUST-1173,Australia
100004,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,4,2024-01-05 21:00:00,2.6,CUST-1142,United Kingdom
100005,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,1,11/18/2024 16:00,3.53,CUST-1239,United States
100005,SKU-PER-002,Moisturizing Face Cleanser 150ml,6,2024-03-08 04:00:00,11.07,CUST-1216,Canada
100005,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,5,2024/02/21,4.21,,United Kingdom
100006,SKU-DRY-002,Extra Virgin Olive Oil 750ml,7,11/24/2024 14:00,0.0,CUST-1474,Canada
100006,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,8,11/28/2024 05:00,3.37,CUST-1025,Australia
100006,SKU-DRY-003,Whole Grain Pasta 500g,2,2024-04-17 11:00:00,1.98,CUST-1061,Australia
100007,SKU-PER-001,Antibacterial Hand Soap 300ml,6,2024-01-28 03:00:00,4.28,CUST-1122,United Kingdom
100007,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,3,08-11-2024 03:00,4.68,CUST-1275,Germany
100007,SKU-SNK-003,Dark Chocolate 70% Bar 100g,7,02/16/2024 23:00,3.62,CUST-1334,France
100008,SKU-SNK-002,Roasted Almonds & Cranberry Mix 200g,7,03/11/2024 17:00,5.89,CUST-1175,France
100008,SKU-DRY-003,Whole Grain Pasta 500g,5,29-11-2024 12:00,1.92,,France
100008,SKU-BEV-003,Sparkling Mineral Water 1L,4,2024/10/28,2.03,,Australia
100009,SKU-BEV-003,Sparkling Mineral Water 1L,6,29-01-2024 13:00,2.04,CUST-1341,Australia
100009,SKU-DRY-001,Basmati Long Grain Rice 5kg,6,04/15/2024 12:00,14.2,CUST-1170,Canada
100009,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,3,18-06-2024 09:00,6.27,CUST-1470,Germany
C100010,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,-2,06/04/2024 08:00,6.17,CUST-1328,France
100010,SKU-DRY-003,Whole Grain Pasta 500g,4,2024-08-14 01:00:00,1.98,CUST-1222,Germany
100010,SKU-DRY-003,Whole Grain Pasta 500g,7,2024/03/19,1.89,CUST-1351,France
100011,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,5,2024/09/05,2.84,CUST-1153,France
100011,SKU-DRY-001,Basmati Long Grain Rice 5kg,3,07/20/2024 20:00,12.52,CUST-1207,United States
100011,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,3,20-10-2024 11:00,2.73,CUST-1086,Germany
100012,SKU-PER-002,Moisturizing Face Cleanser 150ml,4,2024-08-16 19:00:00,10.51,,Canada
100012,SKU-HOU-002,Multi-Surface Disinfectant Wipes 80ct,5,2024/02/19,4.53,CUST-1335,United States
100012,SKU-SNK-001,Artisan Sea Salt Potato Chips 150g,5,2024/04/30,3.3,CUST-1286,Canada
100013,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,5,2024/12/10,4.35,CUST-1126,Germany
100013,SKU-DRY-003,Whole Grain Pasta 500g,10,11/26/2024 19:00,2.05,CUST-1070,Canada
100013,SKU-HOU-001,Eco-Friendly Dishwashing Liquid 1L,2,2024-05-26 01:00:00,3.85,CUST-1394,France
C100014,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,-3,2024/09/16,5.15,CUST-1382,Australia
100014,SKU-DRY-002,Extra Virgin Olive Oil 750ml,3,29-05-2024 19:00,13.79,CUST-1239,Australia
100014,SKU-FRZ-001,Frozen Organic Mixed Berries 400g,5,2024-09-25 23:00:00,5.32,CUST-1232,Canada
100015,SKU-HOU-003,Microfiber Cleaning Towels 4-Pack,7,14-10-2024 18:00,6.99,CUST-1035,France
